,HINDEX_L1,Hour,CATEGORY
775,3.0,17,others
776,3.0,16,others
777,3.0,13,others
778,5.0,12,"setting fires in nature and in landfills, burning grasses"
779,3.0,7,"setting fires in nature and in landfills, burning grasses"
780,3.0,16,"setting fires in nature and in landfills, burning grasses"
781,5.0,17,unknown
782,5.0,11,unknown
783,3.0,19,others
784,2.0,17,unknown
785,4.0,0,unknown
786,6.0,13,"setting fires in nature and in landfills, burning grasses"
787,6.0,12,"setting fires in nature and in landfills, burning grasses"
788,5.0,15,"setting fires in nature and in landfills, burning grasses"
789,2.0,11,"setting fires in nature and in landfills, burning grasses"
790,6.0,16,unknown
791,6.0,16,unknown
792,3.0,11,unknown
793,3.0,17,others
794,6.0,15,others
795,2.0,16,"setting fires in nature and in landfills, burning grasses"
796,6.0,14,"setting fires in nature and in landfills, burning grasses"
797,4.0,14,cigarette butt
798,4.0,18,others
799,5.0,15,cigarette butt
800,6.0,15,"setting fires in nature and in landfills, burning grasses"
801,2.0,3,arson
802,5.0,13,"setting fires in nature and in landfills, burning grasses"
803,6.0,12,unknown
804,2.0,23,others
805,3.0,9,unknown
806,2.0,6,others
807,4.0,15,unknown
808,3.0,11,unknown
809,3.0,9,unknown
810,3.0,23,unknown
811,3.0,23,arson
812,6.0,16,unknown
813,5.0,14,unknown
814,5.0,14,unknown
815,4.0,18,others
816,6.0,13,unknown
817,5.0,15,unknown
818,2.0,1,unknown
819,3.0,18,"setting fires in nature and in landfills, burning grasses"
820,4.0,20,"setting fires in nature and in landfills, burning grasses"
821,2.0,18,unknown
822,3.0,18,unknown
823,4.0,16,unknown
824,5.0,13,unknown
825,6.0,17,unknown
826,5.0,19,unknown
827,6.0,12,"setting fires in nature and in landfills, burning grasses"
828,4.0,11,unknown
829,4.0,13,"setting fires in nature and in landfills, burning grasses"
830,4.0,19,unknown
831,5.0,14,unknown
832,4.0,12,unknown
833,3.0,17,match or lighter
834,5.0,16,"setting fires in nature and in landfills, burning grasses"
835,4.0,13,"setting fires in nature and in landfills, burning grasses"
836,6.0,17,unknown
837,3.0,16,"setting fires in nature and in landfills, burning grasses"
838,4.0,23,unknown
839,3.0,10,"setting fires in nature and in landfills, burning grasses"
840,3.0,15,others
841,3.0,15,unknown
842,5.0,18,unknown
843,5.0,15,unknown
844,4.0,16,cigarette butt
845,6.0,17,match or lighter
846,2.0,7,unknown
847,6.0,17,unknown
848,4.0,18,unknown
849,3.0,10,unknown
850,4.0,17,cigarette butt
851,3.0,6,others
852,2.0,6,unknown
853,2.0,11,arson
854,3.0,16,unknown
855,3.0,13,unknown
856,3.0,18,unknown
857,3.0,4,others
858,6.0,18,unknown
859,6.0,19,unknown
860,6.0,16,unknown
861,6.0,16,unknown
862,3.0,19,match or lighter
863,5.0,15,unknown
864,5.0,16,unknown
865,6.0,16,"setting fires in nature and in landfills, burning grasses"
866,4.0,16,arson
867,3.0,10,unknown
868,3.0,10,others
869,6.0,15,unknown
870,6.0,14,match or lighter
871,6.0,14,others
872,3.0,7,others
873,5.0,15,"setting fires in nature and in landfills, burning grasses"
874,4.0,9,others
875,4.0,15,unknown
876,3.0,16,unknown
877,5.0,16,"setting fires in nature and in landfills, burning grasses"
878,3.0,19,unknown
879,2.0,17,"setting fires in nature and in landfills, burning grasses"
880,5.0,14,unknown
881,6.0,17,unknown
882,3.0,17,unknown
883,4.0,15,unknown
884,5.0,17,"setting fires in nature and in landfills, burning grasses"
885,4.0,13,unknown
886,4.0,10,unknown
887,6.0,17,arson
888,5.0,15,others
889,2.0,22,unknown
890,5.0,16,unknown
891,2.0,5,"setting fires in nature and in landfills, burning grasses"
892,3.0,21,"setting fires in nature and in landfills, burning grasses"
893,3.0,20,"setting fires in nature and in landfills, burning grasses"
894,5.0,15,"setting fires in nature and in landfills, burning grasses"
895,3.0,13,"setting fires in nature and in landfills, burning grasses"
896,3.0,19,unknown
897,5.0,16,unknown
898,3.0,10,unknown
899,3.0,17,unknown
900,3.0,9,unknown
901,3.0,16,unknown
902,3.0,20,others
903,3.0,12,others
904,2.0,11,"setting fires in nature and in landfills, burning grasses"
905,5.0,13,"setting fires in nature and in landfills, burning grasses"
906,4.0,13,others
907,5.0,15,unknown
908,3.0,15,unknown
909,4.0,15,"setting fires in nature and in landfills, burning grasses"
910,4.0,11,unknown
911,4.0,14,unknown
912,3.0,20,"setting fires in nature and in landfills, burning grasses"
913,3.0,19,unknown
914,4.0,11,unknown
915,4.0,15,unknown
916,3.0,10,unknown
917,4.0,15,unknown
918,5.0,21,unknown
919,3.0,14,unknown
920,5.0,7,others
921,3.0,15,others
922,6.0,9,others
923,4.0,20,"setting fires in nature and in landfills, burning grasses"
924,3.0,20,"setting fires in nature and in landfills, burning grasses"
925,6.0,13,others
926,5.0,18,lightning
